Date,TA35_Open,TA35_Close,dual_us_weighted_return,dual_us_fraction_up,dual_us_weight_sum,dual_us_normalized_return,Prev_Close,TA35_Return,Lag1_Return,RollingVol_5,Open_Gap,Open_Gap_Sign,ret_5d,ret_10d,ret_20d,ma_10,ma_20,dist_ma_10,dist_ma_20,vol_10,vol_20,Expiry_Date,Expiry_Close,Days_To_Expiry,Short_Strike,Long_Strike,Dist_To_Short_Pct,Dist_To_Long_Pct,Spread_Width,Target_Binary,Expiry_Return_From_Entry
2026-02-19,4225.9,4210.39,-0.0023473885592176,0.3333333333333333,0.5240241999999999,-0.004479542279188,4232.65,-0.0052591166290619,0.0086623930605531,0.0068713942609044,-0.0015947456085431,0,0.012015671570041464,0.02181283384823729,0.07074937884486765,4156.464,4089.613,0.01297400867660592,0.02953262325799555,0.011704420995520359,0.009486193911646939,2026-02-27,4128.36,8,4250.0,4260.0,0.009407679573626204,0.01178275646674054,10.0,1,-0.01948275575421765
2026-02-20,4217.77,4232.11,0.0008756324624318,0.4444444444444444,0.5240241999999999,0.0016709771465359,4210.39,0.0051586670118444,-0.0052591166290619,0.0065598902939952,0.0017528067471184,1,0.009915142606238714,0.04780874521231682,0.0651480144767771,4175.773999999999,4102.5555,0.013491151580521388,0.03157897559216427,0.008789734454475725,0.009354263835672073,2026-02-27,4128.36,7,4270.0,4280.0,0.008952980900780005,0.011315868443873223,10.0,1,-0.0245149582595916
2026-03-02,4233.68,4318.5,0.0258229685829513,0.8888888888888888,0.5240241999999999,0.0492781985697441,4128.36,0.0460570299101823,0.0065242832065532,0.0255917710162764,0.0255113410652172,1,0.017681284420533183,0.035556877095213046,0.07863535206448091,4199.528,4160.511,0.028329850402235568,0.03797346047156225,0.017430204658695807,0.014755306645613968,2026-03-31,4099.01,29,4360.0,4370.0,0.009609818223920374,0.01192543707305771,10.0,1,-0.05082551811971747
2026-03-04,4288.16,4309.68,0.0115471799779826,0.7777777777777778,0.5240241999999999,0.0220355853374378,4318.5,-0.0020423758249391,0.0460570299101823,0.0231892898875049,-0.0070255875882829,0,0.0337443031902136,0.027019040583371012,0.06429721533492039,4210.866,4173.529,0.023466431845611035,0.03262251202759092,0.017489009197389094,0.01470141606395469,2026-03-31,4099.01,27,4350.0,4360.0,0.00935568302054901,0.011676040912550256,10.0,1,-0.048882979710790586
2026-03-05,4295.27,4355.91,-0.001675789238524,0.5555555555555556,0.5240241999999999,-0.0031979233755313,4309.68,0.0107270145347218,-0.0020423758249391,0.0227304035514846,-0.0033436357223738,0,0.046364313339258834,0.029121236105040582,0.05730846810896595,4223.192,4185.334,0.031425992472044806,0.04075564817527111,0.017577805099510457,0.014435621432608415,2026-03-31,4099.01,26,4400.0,4410.0,0.010121880387794935,0.012417611934130823,10.0,1,-0.05897734342536909
2026-03-06,4369.09,4356.68,-0.0125749577631231,0.4444444444444444,0.5240241999999999,-0.0239969027444213,4355.91,0.0001767713290679,0.0107270145347218,0.019545114592227,0.0030257741780708,1,0.06219036473571293,0.03474499986937074,0.05731572062681556,4237.821,4197.1425,0.028047196896707094,0.038010980089429935,0.01737652990105213,0.014435553526134338,2026-03-31,4099.01,25,4400.0,4410.0,0.009943351359291919,0.012238677157835776,10.0,1,-0.05914365985107928
2026-03-09,4280.08,4227.02,0.0118850037059153,0.7777777777777778,0.5240241999999999,0.022680257335282,4356.68,-0.0297611943039194,0.0001767713290679,0.0273846338153104,-0.0175821956168459,0,0.023898109660979383,-0.0012027097594342617,0.0465485354084294,4237.312,4206.543,-0.0024288983204445724,0.00486789270904886,0.020283918888503297,0.015400812257083894,2026-03-31,4099.01,22,4270.0,4280.0,0.010167919716490559,0.012533652549550078,10.0,1,-0.030283745995997258
2026-03-10,4251.1,4187.97,-0.0105297752936722,0.4444444444444444,0.5240241999999999,-0.0200940630102048,4227.02,-0.0092381867130981,-0.0297611943039194,0.0150721988205665,0.0056966846620076,1,-0.03022577283779082,-0.013078918903633108,0.03358942907842555,4231.762000000001,4213.348,-0.010348408062646364,-0.00602323852670128,0.02046231813720032,0.015616058960948467,2026-03-31,4099.01,21,4230.0,4240.0,0.010035888509229984,0.012423680207833243,10.0,1,-0.021241794950775716
2026-03-11,4141.34,4211.82,-0.0007841504308175,0.5555555555555556,0.5240241999999999,-0.0014964011792157,4187.97,0.0056948832011689,-0.0092381867130981,0.0159549849933786,-0.0111342726905876,0,-0.022707022331124538,0.010271048213000622,0.022343480339921618,4236.044,4217.9505,-0.005718543055737935,-0.0014534309968787795,0.01969570801509345,0.015248774142435447,2026-03-31,4099.01,20,4250.0,4260.0,0.00906496478956842,0.011439235294955719,10.0,1,-0.026784145571273066
2026-03-12,4187.56,4146.17,-0.0074979498770712,0.3333333333333333,0.5240241999999999,-0.0143084038429355,4211.82,-0.015587085867867,0.0056948832011689,0.013891241667162,-0.0057599802460692,0,-0.04815067345284907,-0.004018833025054569,-0.011279441608023966,4234.371,4215.585499999999,-0.020829776134401068,-0.01646639594903232,0.020401283962214037,0.015159185778292353,2026-03-31,4099.01,19,4190.0,4200.0,0.010571201856170775,0.012983066299741663,10.0,1,-0.011374352715879943
